,time,hrv_rnssd
0,2024-09-24T00:00:00.000,30.95
1,2024-09-24T00:05:00.000,32.473
2,2024-09-24T00:10:00.000,32.17
3,2024-09-24T00:15:00.000,33.318
4,2024-09-24T00:20:00.000,44.905
5,2024-09-24T00:25:00.000,20.777
6,2024-09-24T00:30:00.000,27.802
7,2024-09-24T00:35:00.000,32.298
8,2024-09-24T00:40:00.000,31.312
9,2024-09-24T00:45:00.000,37.223
10,2024-09-24T00:50:00.000,38.869
11,2024-09-24T00:55:00.000,35.776
12,2024-09-24T01:00:00.000,34.524
13,2024-09-24T01:05:00.000,36.379
14,2024-09-24T01:10:00.000,37.217
15,2024-09-24T01:15:00.000,37.452
16,2024-09-24T01:20:00.000,28.914
17,2024-09-24T01:25:00.000,39.964
18,2024-09-24T01:30:00.000,37.812
19,2024-09-24T01:35:00.000,35.063
20,2024-09-24T01:40:00.000,36.52
21,2024-09-24T01:45:00.000,45.499
22,2024-09-24T01:50:00.000,43.13
23,2024-09-24T01:55:00.000,47.697
24,2024-09-24T02:05:00.000,23.223
25,2024-09-24T02:10:00.000,26.602
26,2024-09-24T02:15:00.000,46.874
27,2024-09-24T02:20:00.000,34.426
28,2024-09-24T02:25:00.000,45.18
29,2024-09-24T02:30:00.000,45.113
30,2024-09-24T02:35:00.000,39.147
31,2024-09-24T02:40:00.000,37.701
32,2024-09-24T02:45:00.000,43.064
33,2024-09-24T02:50:00.000,47.571
34,2024-09-24T02:55:00.000,32.377
35,2024-09-24T03:00:00.000,29.242
36,2024-09-24T03:05:00.000,27.442
37,2024-09-24T03:10:00.000,37.425
38,2024-09-24T03:15:00.000,36.103
39,2024-09-24T03:20:00.000,34.018
40,2024-09-24T03:25:00.000,52.698
41,2024-09-24T03:30:00.000,39.733
42,2024-09-24T03:35:00.000,35.141
43,2024-09-24T03:40:00.000,30.938
44,2024-09-24T03:45:00.000,29.392
45,2024-09-24T03:50:00.000,42.839
46,2024-09-24T03:55:00.000,43.44
47,2024-09-24T04:00:00.000,33.913
48,2024-09-24T04:05:00.000,26.355
49,2024-09-24T04:10:00.000,45.987
